m30,BTR,FET,FDT,SHR,GRS,CRP
61436,0.006,0.02,0.004,0.04,0.084,0.004
61437,0.084,0.564,0.064,1.461,1.48,0.142
61439,0.1,0.05,0.049,0.133,0.092,0.039
61440,0.01,0.05,0.007,0.196,0.131,0
61448,0.072,1.059,0.037,1.199,1.347,0.052
61449,0.169,7.697,0.143,5.501,4.353,0.287
61450,1.249,18.042,1.034,13.354,16.524,0.967
61451,0.598,7.14,0.517,6.855,5.369,0.363
61452,0.077,4.795,0.061,3.18,2.083,0.12
61453,0.055,32.979,0.044,20.871,14.891,0.922
61454,0.014,39.374,0.013,20.649,16.17,1.007
61455,0.06,13.139,0.051,8.856,8.926,0.51
61554,0.017,0.778,0.015,1.708,1.465,0.095
61555,0,0.146,0,0.452,0.336,0.163
61556,0.73,8.637,0.533,7.24,8.001,29.13
61557,0.139,9.761,0.089,7.618,11.024,65.274
61558,0.089,6.635,0.062,5.81,9.965,72.479
61559,0.387,6.214,0.224,6.259,10.355,72.097
61560,0.764,10.551,0.559,6.038,9.555,66.123
61561,4.69,17.324,3.141,7.489,9.449,49.799
61562,1.021,10.586,0.656,6.552,10.169,65.782
61563,2.924,12.618,1.645,4.841,8.563,64.077
61564,3.883,17.922,2.641,8.164,10.248,50.893
61565,8.297,20.08,4.839,9.324,9.867,38.969
61566,3.274,9.196,1.179,5.261,8.876,66.82
61567,16.457,8.641,4.466,9.174,10.569,42.124
61568,15.145,10.969,5.296,16.805,16.075,27.235
61569,13.227,15.179,5.912,16.346,15.209,25.478
61570,10.319,15.565,4.515,10.118,11.738,39.669
61571,5.917,12.014,2.259,7.048,9.816,56.476
61572,14.135,14.909,5.462,9.344,10.278,37.242
61573,19.079,17.059,7.716,15.819,14.298,14.921
61574,17.459,19.007,9.084,16.942,15.129,10.664
61575,15.907,16.956,7.756,16.69,13.575,16.697
61576,15.288,14.972,6.801,24.561,19.762,9.285
61577,9.113,13.373,4.589,22.035,19.542,18.561
61578,14.432,14.842,6.694,18.826,16.183,11.655
61579,17.499,13.149,6.933,22.537,17.212,11.163
61580,15.3,20.207,7.506,20.298,16.157,7.745
61581,5.943,20.891,3.678,31.896,20.262,3.212
61582,8.155,28.206,5.328,22.77,15.053,3.053
61583,7.662,24.458,4.995,23.352,16.891,2.771
61584,9.143,23.613,5.166,25.691,16.022,2.289
61585,8.374,21.149,4.756,25.395,15.511,1.689
61586,9.221,21.695,5.184,24.812,16.494,1.689
61587,12.459,24.248,6.944,22.692,14.166,1.246
61588,10.801,29.265,6.676,22.032,14.412,1.72
61589,13.846,32.271,9.009,17.355,12.318,1.1
