Soil NOx emissions calculated according to an implementation of Yienger and Levy 1995
Tsoil, soil wetness, soil NO emission flux and canopy top flux (when) using CRF
Soil NO emission fluxes are calculated for Yienger and Levy emission class: Agric.-land              
Implying a wet soil NO emission factor:   0.36 [ngN m-2 s-1] and a dry soil NO emission factor:   0.36
     istep       ldatltime          Tsoil             ws      NO_slflux      NO_emflux
         # dd-mm-yy hh:min              K              m  molec m-2 s-1 molec. m-2 s-1
       141  27-06-12 09:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       142  27-06-12 10:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       143  27-06-12 10:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       144  27-06-12 11:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       145  27-06-12 11:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       146  27-06-12 12:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       147  27-06-12 12:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       148  27-06-12 13:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       149  27-06-12 13:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       150  27-06-12 14:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       151  27-06-12 14:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       152  27-06-12 15:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       153  27-06-12 15:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       154  27-06-12 16:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       155  27-06-12 16:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       156  27-06-12 17:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       157  27-06-12 17:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       158  27-06-12 18:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       159  27-06-12 18:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       160  27-06-12 19:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       161  27-06-12 19:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       162  27-06-12 20:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       163  27-06-12 20:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       164  27-06-12 21:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       165  27-06-12 21:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       166  27-06-12 22:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       167  27-06-12 22:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       168  27-06-12 23:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       169  27-06-12 23:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       170  28-06-12 00:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       171  28-06-12 00:30   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
       172  28-06-12 01:00   0.300000E+03   0.250000E+00   0.246026E+15   0.246026E+15
